Title,Abstract,Summary,Strategic decision,AI intelligence,Operation
Brand Buzz in the Echoverse,"Social media sites have created a reverberating “echoverse” for brand communication, forming complex feedback loops (“echoes”) between the “universe” of corporate communications, news media, and user-generated social media. To understand these feedback loops, the authors process longitudinal, unstructured data using computational linguistics techniques and analyze them using econometric methods. By assembling one of the most comprehensive data sets in the brand communications literature with corporate communications, news stories, social media, and business outcomes, the authors document the echoverse (i.e., feedback loops between all of these sources). Furthermore, the echoverse has changed as online word of mouth has become prevalent. Over time, online word of mouth has fallen into a negativity spiral, with negative messages leading to greater volume, and firms are adjusting their communications strategies in response. The nature of brand communications has been transformed by online technology as corporate communications move increasingly from one to many (e.g., advertising) to one to one (e.g., Twitter) while consumer word of mouth moves from one to one (e.g., conversations) to one to many (e.g., social media). The results indicate that companies benefit from using social media (e.g., Twitter) for personalized customer responses, although there is still a role for traditional brand communications (e.g., press releases, advertising). The evolving echoverse requires managers to rethink brand communication strategies, with online communications becoming increasingly central.",Sentiment analysis for social media content understands consumer responses using their own language,Marketing research,Feeling AI,Customer understanding
Active Machine Learning for Consideration Heuristics,"We develop and test an active-machine-learning method to select questions adaptively when consumers use heuristic decision rules. The method tailors priors to each consumer based on a “configurator.” Subsequent questions maximize information about the decision heuristics (minimize expected posterior entropy). To update posteriors after each question, we approximate the posterior with a variational distribution and use belief propagation (iterative loops of Bayes updating). The method runs sufficiently fast to select new queries in under a second and provides significantly and substantially more information per question than existing methods based on random, market-based, or orthogonal-design questions. Synthetic data experiments demonstrate that adaptive questions provide close-to-optimal information and outperform existing methods even when there are response errors or “bad” priors. The basic algorithm focuses on conjunctive or disjunctive rules, but we demonstrate generalizations to more complex heuristics and to the use of previous-respondent data to improve consumer-specific priors. We illustrate the algorithm empirically in a Web-based survey conducted by an American automotive manufacturer to study vehicle consideration (872 respondents, 53 feature levels). Adaptive questions outperform market-based questions when estimating heuristic decision rules. Heuristic decision rules predict validation decisions better than compensatory rules.",MLfor understanding consumer consideration heuristics ,Marketing research,Feeling AI,Customer understanding
Identifying Customer Needs from User-Generated Content,"Firms traditionally rely on interviews and focus groups to identify customer needs for marketing strategy and product development. User-generated content (UGC) is a promising alternative source for identifying customer needs. However, established methods are neither efficient nor effective for large UGC corpora because much content is noninformative or repetitive. We propose a machine-learning approach to facilitate qualitative analysis by selecting content for efficient review. We use a convolutional neural network to filter out noninformative content and cluster dense sentence embeddings to avoid sampling repetitive content. We further address two key questions: Are UGC-based customer needs comparable to interview-based customer needs? Do the machine-learning methods improve customer-need identification? These comparisons are enabled by a custom data set of customer needs for oral care products identified by professional analysts using industry-standard experiential interviews. The analysts also coded 12,000 UGC sentences to identify which previously identified customer needs and/or new customer needs were articulated in each sentence. We show that (1) UGC is at least as valuable as a source of customer needs for product development, likely more valuable, compared with conventional methods, and (2) machine-learning methods improve efficiency of identifying customer needs from UGC (unique customer needs per unit of professional services cost).",Convolutional neural network identifies customer needs from user-generated content,Marketing research,Feeling AI,Customer understanding
Relationship journeys in the internet of things: a new framework for understanding interactions between consumers and smart objects,"Consumers’ interactions with smart objects have a relational nature, and extensive research has supported the “relationship metaphor” as a fruitful way to understand consumer responses to consumption objects. But, smart objects pose unique challenges for considering the emergence of consumer–object relationships, because their degrees of agency, autonomy, and authority lend them their own unique capacities for interaction. We present a new framework for consumer–object relationships based on the circumplex model of interpersonal complementarity and situated in assemblage theory and object-oriented ontology. Consumer–object relationship styles are defined in terms of two foundational dimensions of behavior, agency, and communion, based on the expressive roles played by consumer and object. The overlay of assemblage theory provides a conceptually rich understanding of the space of master–servant, partner, and unstable relationship styles, along with their concomitant positive (enabling) versus negative (constraining) consumer experiences. The model’s underlying geometry supports extensive empirical work and provides a powerful managerial framework for measuring and tracking consumer–object relationships and the journeys they take over time.",Consumer and smart object in IoT as relationship journey,Marketing research,Feeling AI,Customer understanding
Resistance to Medical Artificial Intelligence ,"Artificial intelligence (AI) is revolutionizing healthcare, but little is known about consumer receptivity to AI in medicine. Consumers are reluctant to utilize healthcare provided by AI in real and hypothetical choices, separate and joint evaluations. Consumers are less likely to utilize healthcare (study 1), exhibit lower reservation prices for healthcare (study 2), are less sensitive to differences in provider performance (studies 3A–3C), and derive negative utility if a provider is automated rather than human (study 4). Uniqueness neglect, a concern that AI providers are less able than human providers to account for consumers’ unique characteristics and circumstances, drives consumer resistance to medical AI. Indeed, resistance to medical AI is stronger for consumers who perceive themselves to be more unique (study 5). Uniqueness neglect mediates resistance to medical AI (study 6), and is eliminated when AI provides care (a) that is framed as personalized (study 7), (b) to consumers other than the self (study 8), or (c) that only supports, rather than replaces, a decision made by a human healthcare provider (study 9). These findings make contributions to the psychology of automation and medical decision making, and suggest interventions to increase consumer acceptance of AI in medicine.",Consumer resistance to personal medical AI ,Marketing research,Feeling AI,Customer understanding
Man Versus Machine: Resisting Automation in Identity-Based Consumer Behavior,"Automation is transforming many consumption domains, including everyday activities such as cooking or driving, as well as recreational activities like fishing or cycling. Yet little research in marketing examines consumer preferences for automated products. Automation often provides obvious consumption benefits, but six studies spanning a variety of product categories show that automation may not be desirable when identity motives are important drivers of consumption. Using both correlational and experimental designs, these studies demonstrate that people who strongly identify with a particular social category resist automated features that hinder the attribution of identity-relevant consumption outcomes to themselves. The findings have substantial theoretical implications for research on identity and technology, as well as managerial implications for targeting, product innovation, and communication.",Consumers may not prefer identity-related automated products,Marketing research,Feeling AI,Customer understanding
Eliza in the uncanny valley: anthropomorphizing consumer robots increases their perceived warmth but decreases liking,"Consumer robots are predicted to be employed in a variety of customer-facing situations. As these robots are designed to look and behave like humans, consumers attribute human traits to them—a phenomenon known as the “Eliza Effect.” In four experiments, we show that the anthropomorphism of a consumer robot increases psychological warmth but decreases attitudes, due to uncanniness. Competence judgments are much less affected and not subject to a decrease in attitudes. The current research contributes to research on artificial intelligence, anthropomorphism, and the uncanny valley phenomenon. We suggest to managers that they need to make sure that the appearances and behaviors of robots are not too human-like to avoid negative attitudes toward robots. Moreover, managers and researchers should collaborate to determine the optimal level of anthropomorphism.",Anthropomorphized consumer robots increase perceived warmth but decrease liking ,Marketing research,Feeling AI,Customer understanding
Customer Perception Analysis Using Deep Learning and NLP,"Understanding customer behavior and driving customer satisfaction are necessary for any business to succeed in the competing market. Companies need to be aware of the prevailing customer perceptions to make more accurate and effective plans for product development and marketing. Customer feedback is available through multiple channels. Specifically, we are interested in the unstructured data available as text that would be available through social media, comments from a survey, voice recordings of customer interactions, and chat transcripts. Analyzing such data correctly is critical, as it reveals everything from buying trends to product flaws and provides a significant business advantage. It would further strengthen business opportunity to uncover customer interests, product improvements, and marketing insights. In this paper, we explore different technologies of Deep Learning and Natural Language Processing (NLP) that would help analyze better the contextual information to capture customer feedback.","Deep learning and NLP analyze
 customer perceptions",Marketing research,Feeling AI,Customer understanding
Customer-based perceptual map as a marketing intelligence source,"Marketing intelligence is adopted by most global firms to support decision-making, identify potential opportunities and plan appropriate strategies. This paper concentrates on customers' perceptions as a rich, systematic, objective, and intelligent source that supplies strategic marketing planning knowledge. This idea is executed through distilling a perceptual map from mining customers' perceptions via data mining techniques and tools. In this paper, a practical intelligence framework is proposed to integrate marketing resources and information systems techniques in order to maintain a deep understanding of the soundness of data. After application on a real case study for fast food restaurants brands in Jordan, the proposed framework has proven to display promising results.",Data mining for distilling a customer-based perceptual map,Marketing strategy,Feeling AI,Positioning
Analyzing tourism slogans in top tourism destinations,"A tourism destination's slogan is an important tool in the development of its national brand. However, few studies have focused on this issue. Therefore, the main purpose of this paper is to examine the characteristics of 150 tourism destinations, considering three geographical levels: countries, regions and cities, and to evaluate them by means of content analysis. The study tests eight different items for each slogan adopted from previous studies. Findings reveal that slogans tend to be very simple and have an exclusive appeal, which comes from emphasising the affective component in the message.",Tourism positioning slogans in top destinations emphasize affective component ,Marketing strategy,Feeling AI,Positioning
